🍎🍒,Monday,Date,Sign,Notes,
,Unpack Stock,24.08.26,ll,,
,Check customer requests after stock is finished,24.08.26,ll, ,
,Tidy and dust jewellery cabinet. Make sure all designs are out ,24.08.26,ll,,
,Get change for the week if needed,,,,
,,,,,
🍊🥭,Tuesday,,,,
,Dust shelves along the wall opposite the counter,25.08.26,ll,,
,Dust middle shelves and counter (making sure to dust happy socks stand as well),25.08.26,ll,,
,,,,,
🍌🍋,Wednesday,,,,
,Dust shelves along the wall behind the counter,26.08.26,mj,,
,Tidy storage spaces. Double check nothing is hiding that should be on the shelves as you go. ,19.08.26,mj,,
,,,,,
🥝🫛,Thursday,,,,
,Double check store needs check list (in Start & End of Day tab) for the delivery tomorrow ,20.08.26,mj,,
,Dust and tidy peg board. ,20.08.26,mj,,
,Lint roll plushies,20.08.26,mj,,
🥦,Friday,,,,
,Dust shelves closest to the front door.,21.08.26,mj,,
,Get change,21.08.26,mj,,
,Unpack Stock,21.08.26,mj,,
,Check customer requests after stock is finished,21.08.26,mj,,
,,,,,
🌊,Saturday,,,,
,Dust and tidy jewellery cabinets. Make sure all designs are out. ,22.08.26,mj,,
,Double check customer requests. Take any items off hold that we've been keeping aside for over a week. ,22.08.26,mj,,
,,,,,
🍇,Sunday,,,,
,Double check store needs check list (in Start & End of Day tab) for the delivery tomorrow ,23.08.26,mj,,  
,Dust shelves closest to the front door. Dust inside display cups and mugs.,23.08.26,mj,,
