,,,
,OPENING,26.08.26,Notes
"☀️
☕
🌈
🤗
",,,
,Sign in on DEPUTY! ,mj,
,"Lights: 
- Main switch on the back wall switch on back 
- Lamps on shelves behind counter 
- Wooderful life & front middle shelf (switch under the counter) ",mj,
,"Solvantis 
- PIN: 4444
- Open 'Register' from the menu and count cash (should be $400!!) 
- Press open register",mj,
,"Tidy / check the tees 
- 2 of each tee design in different sizes
- 1 of each puffer, raincoat and dress design",mj,
,Play some music via Spotify :),mj,
,Complete your daily task (found in the Daily Tasks tab) during the day when time allows ,mj,
,Check communications,mj,
,Have a good day!!! Lets gooooooooo,,
,,,
,CLOSING,25.08.26,
"🌙
🎉
🛏️
😴",,,
,1 hr before close : ,,
,"Check the Store Needs Checklist below, add anything we need to the Store Needs tab",mj,
,"Check the Cust. Requests tab, make sure it is up to date if anything was sold / delivered today",mj,
,,,
,1 hr - 1/2 hr before close:,,
,"Tidy / check the tees 
- 2 of each tee and jumper design in different sizes
- 1 of each puffer, raincoat and dress design",mj,
,Neaten & tidy the displays and check items sold off the shelves has been replenished,mj,
,Spray and wipe down the counter and glass / mirror cabinent doors ,mj,
,Vacuum and MOP the floor,mj,
,,,
,Closing Time,,
,"In Cin7: 
_ In ""Scan and Search Product"" write MISC. Select "" cCMISC-0000  -  MISC product  -  $0.00 "" . 
_ Remove the product name ( MISC product) and put your name and shop name instead.
_ Press ""Finish Order""
",mj,
,"On the EFTPOS machine (Zeller) tap the menu icon (top left)
Login (PW: QueenMonster123!) then, -> Reports -> Print 
⚠️ Make sure it is placed on the charging dock to charge overnight!! ⚠️
",mj,
,"In Cin7:
Printing daily sales report:
- Click Menu -> Reports -> Print Daily Sales and Payment Report -> Change 'Branch' to QVB and click search -> Print on Receipt Printer
Closing the register:
- Click Menu  -> Close Resigster 
--- Enter the card amount from the settlement printed from the EFTPOS Machine in the window labelled 'card'
--- Take out the cash amount made from the day, then count the float (float should equal $400!). Enter the amount of cash made in the window labelled 'cash'
!! If there is a discrepancy of over $5, please include in the email to Nirmani and cc Lance to let him know !!
--- Take a screenshot of the totals and email it to Nirmani (accounts@monsterthreads.com.au), including petty cash receipts and discrepancies if any.
--- Click close Register! 
",mj,
,"In the "" QVB Cash Sales Deposit Sheet"" here on Excel, update the ""Cash Receipts/Takings"" of the day with your name.
",mj,
,"_ Staple the EFTPOS report & the Print Daily Sales and Payment Report, and put them in the draws under the counter, under the name ""Payment Reports"". 
_ Stample/stick all the settlement EFTPOS receipts of the day, and put them in the draws under the counter, under the name ""EFTOPS receipts""
_ Bag up the cash, write the store, date, amount and Staff worked that day, and place in the safe
",mj,
,"Turn off : 
_ the two speakers 
_ the soft touch lamp 
_ the relaxing sound
_ the 2 lights",mj,
,"Sign out of Deputy!! 
",mj,
,,,
,All done!! Have a nice night!! ,,
,,,
,STORE NEEDS - Items highlighted in yellow are priority - red is very high priority!,,
,Retail,,
,XS Paper Shopping Bags ,,
,Small Paper Shopping Bags,,
,Medium Paper Shopping Bags,,
,Large Paper Shopping Bags,,
,Large Receipt Rolls,,
,Small EFTPOS Receipt Rolls,,
,Small Jewellery Gift Bags,,
,Business Cards,,
,Greeting Card paper bag,,
,Stationary ,,
,Sticky Tape,,
,Ball-point Pens,,
,Permanent Markers,,
,Staples ,,
,Blue-tac ,,
,price gun sticker roll,,
,bubble wrap,,
,Cleaning,,
,Paper Towel,,
,Garbage Bags,,
,Glass Cleaning Spray,,
,All-purpose Cleaning Spray,,
,'Grab It' Duster Head Replacements ,,
,Antibacterial wipes,,
,Lint roller refill,,
,Hand sanitiser,,
,Box of tissues,,
,Gift Wrapping,,
,Bush Parrots Wrapping Paper,,
,Gumnuts Wrapping Paper,,
,Ribbon,,
,Rafia ,,
,Butchers paper,,
,Tissue paper,,
