 ,,,,,,,,,,,
Date,Message,Liz,Kaew,Maddie,Anouk,Holly,Lucinda,Leah,Stefania,Mika,Comments
15.08.26,The new butter dishes from Robet Gordon come with the box. They are inside the cabinet under the stock.,🌊,,,,,🦒,/ᐠ｡ꞈ｡ᐟ\,,\(*-*)/,
09.08.26,"Memorandum from QVB: There will be an Emergency Evacuation Excercise being conducted for all retailers from 9am to 10am on Friday the 21st of August. Announcements willl be made that it is a practice test, listen out for instructions and follow the guidance of Centre Management and Security. This is a compulsory exercise! Sorry to whoever's working that Friday....",🌊,KP,,,,🦒,/ᐠ｡ꞈ｡ᐟ\,,\(*-*)/,
08.08.26,"Hey Team! 
Please have a look under the new Duck mug, inside the cupboard (third one from the left side from the entry) to memorize where new and old items have been allocated:
_ Retro Folk Stoneware Hand Painted Mug
_ Glasses Tumbler Large Set 
_ Tea Cup & Saucer 
_ Duck+Bunny Spoons
_ Duck mug
_ Little bird glass 
_ Glass Tumbler - Lemon Heaven Collection

New glasses ( Lemon Slice Glass Tumber & Waxflower Glass Tumbler)
DON'T HAVE BOXES!",🌊,KP,,,,🦒,/ᐠ｡ꞈ｡ᐟ\,✨,\(*-*)/,
29.07.26,"Hello! Please make sure to price all sale items! I noticed a lot were missing their price tags today and it looked very confusing as to what was on sale or not. 
When pricing please include both the original price tag plus the sale sticker so that it's clear to customers how much of a discount they're getting. Also please stick to only 1 type of sale sticker, there were a few items that had both a 30% off sticker and then a special sitcker with the sale amount. This confuses customers and can make it seem like there's a further discount on top of the sale amount. Thanks guys!!",🌊,KP,,,👽,🦒,/ᐠ｡ꞈ｡ᐟ\,✨,\(*-*)/,
23.07.26,"New Pos Solvantis CODES : 
_ Username : QVBMonster
_ Location : SNDNWDWjedfdeefe-4345J
_ Pin : 4444",🌊,KP,,,👽,🦒,/ᐠ｡ꞈ｡ᐟ\,✨,\(*-*)/,
16.07.26,"The ""Brut Cake Smiling Mug Coaster"" in the sale section, they don't have a barcode, when you scan them, just type ""Misc Product"", write the name of the item, and charge $5 please. Thank you",🌊,KP,,,👽,🦒,/ᐠ｡ꞈ｡ᐟ\,✨,\(*-*)/,
16/07/26,"Please check the clothing before you put out. Some were to many and duplicate in the different area, some were not out. A lot of jumpers and some t-shirts were missing the safety tag. Sale kids tees were on the normal rack with full price. Remember please sale stickers are applied even when you put clothes in the cupboards. Thanks",🌊,KP,,,👽,🦒,/ᐠ｡ꞈ｡ᐟ\,✨,\(*-*)/,
15.07.26,"hi guys! is anyone else having issues with the Solvantis search bar? I keep on trying to search up items, only for the screen to freeze and a browser note pop up telling me to either wait or exit the page. It doesn't happen everytime, but is still annoying when looking up stock.",🌊,KP,,,👽,🦒,/ᐠ｡ꞈ｡ᐟ\,✨,\(*-*)/,I think its becasue the computer or the internet here. T-T
14.07.26,hey guys! please hang the large cermaic bells on the peg sticks and not stick on hooks as they're only being held by small tape. it was very close to peeling off and almost fell.,🌊,KP,,,👽,🦒,,✨,\(*-*)/,
,,,KP,,,,🦒,,,\(*-*)/,
06.07.26,keys for cash register is left in the 'store info' drawer under the counter,🌊,KP,,,👽,🦒,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
01.07.26,SOLVANTIS new pos pin: 4444 😎,🌊,KP,,,👽,🦒,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
05.06.26,"Hello, the EFTPOS machine PIN has been changed to '2000'",🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
07.05.26,"Be careful with the vacuum as the cable is making sparkes, there is a tiny cut. I have put ""insulator tape"" in the Store Need sheet, it may can be fixed with it.",🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
