,,,,,,,,,,,,,,,,,,,,
,SHELVES INFRONT OF COUNTER,,,,,,,,,,,,PEG BOARD,,,,,,,
,Music Boxes,Music Boxes,,"Music Boxes
",Carla Dinnage boxes / Cat Mug w/ Plate boxes / RG Cup + Saucer boxes,,RG Cat's Pyjamas mugs + travel mugs,RG 4 Dogs + 1 Cat mugs / RG Tapestrymugs ,,Kip & Co Jackets / Halycon Nights,Hux / Sage and Clare,,,,,,,,,
,"Music Boxes
",Music Boxes,,"Music Boxes
",Watering Can / Leaf Platter,,RG Foresberg mug / Bloomingville mugs + mini mugs,Swan Mug / Sausage Dog S&P Shakers,,Monsterthreads,Halycon Nights / Goldie + Ace,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
FRONT OF STORE,,,,,,,COUNTER,,,,,,,,,,,,,
,,,,,,,Wrapping Paper,Medium Bags,,Small Bags,Cash Drawer,,,,,,,,,
,,,,,,,"Stationary, Pricing, First aid","Ribbon, Orbit key, Jewellery, Receipt Rolls",,"Documents
EOD Shelves
Tissues","Computer Tower, Modem, Phone Base",,,,,,,,,
,,,,,,,Bubble wrap,"Security tags, Command Hooks, Tools",,,,,,,,,,,,
,,,,,,,Display stands,"Display Decor
Halcyon Nights packaging",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,SHELVES BEHIND COUNTER,,,,,,,,,,,,,,,,,,,
,"Sea Animals: Fish Trinket, Ornaments, Planters boxes",Cats and Dogs: Planters boxes,,"Mushrooms, Paddy wax candle boxes",Croissants,,Adult Jumper women,"Adult Raincoats XS, S-M ",,Kids Raincoats,Bags / Funky Friends boxes,,Womens Tee + Fashion Top,Mens Tee - White and Grey,,GLASS CABINETS,,"Cleaning
Customer requests",,Apparel Wall Display Options
,Madagascar and Jungle Vase boxes,"Australian, Bird, and Capybara Planters boxes",,Perdy Parrot boxes / Strawberry boxes,"Tomato, Jam, Pasta, Oil boxes",,Adult Jumper Men ,"Adult Raincoats M-L
Octopus + Whale Mug boxes",,Kids Raincoats,"Bags
Gift Boxes",,Mens Tee - Magpies Red + Green,Mens Tee - Black and Navy,,"Backpacks
Clip Hangers        MT Gift boxes  Small bags",Kids Hangers,Adult Hangers,,"Vacuum
Mop
Broom
Bin Card"
,,,,,,,,,,,,,,,,,,,,
,Latest Update:,29.3.26,,,,,,,,,,,,,,,,,,
,Staff: ,Regina,,,,,,,,,,,,,,,,,,
