,,,,,,,,,
,🌞START OF DAY😊,,,,,,,,
,,DAY,MON,TUES,WED,THURS,FRI,SAT,SUN
,,DATE,24.08.26,25.08.26,12.08.26,20.08.26,21.08.26,22.8.26,23.8.26
,,Turn on ALL lights – please look around and make sure you havn't missed any.,hg,hg,lm,hg,hg,lm,liz
,,SIGN INTO DEPUTY/ START SHIFT IN DEPUTY ,hg,hg,lm,hg,hg,lm,liz
,,"Open Solvantis: sign in with Newtown, pin number 2222 -> OPEN REGISTER (Drop down menu > register) -> count till (should be $400)  -> Click open register and go back to home page.",hg,hg,lm,hg,hg,lm,liz
,,Turn on music - Spotify tab will open automatically when computer turns on. Select correst speakers in spotify (speaker button located to the left of the volume control) - 'newtownecho'. ,hg,hg,lm,hg,hg,lm,liz
,,"Check the EFTPOS is working, check internet is on, make sure phone is charged.",hg,hg,lm,hg,hg,lm,liz
,,Read any initial messages in the communications to read tab. ,hg,hg,lm,hg,hg,lm,liz
,,"Check all jumpers, raincoats, mens, womens fashion tops are out & neat.",hg,hg,lm,hg,hg,lm,liz
,,Do some general dusting - inc. the umbrella display + window displays,hg,hg,lm,hg,hg,lm,liz
,,Wander around the store and restock any items that need to be restocked.,hg,hg,lm,hg,hg,lm,liz
,,Check daily cleaning tasks and complete throughout the day,hg,hg,lm,hg,hg,lm,liz
,,,,,,,,,
,,,,,,,,,
,🌘 END OF DAY 😴,,,,,,,,
,,DAY,MON,TUE,WED,THUR,FRI,SAT,SUN
,,,24.08.26,25.08.26,05.08.26,20.08.26,21.08.26,22.8.26,23.8.26
,,"Check the racks and replace missing tees (hour before close) - includes kids, mens, womens, sale. Finger space all hangers tee racks to look presentable!",hg,hg,lm,hg,hg,lm,liz
,,"Spray & wipe down glass/touched surfaces: front counter, jewellery cabinet, Wooderful life display case, wipe down Zeller & computer including keyboard, mouse, printer, phone, demagnetizers.",hg,hg,lm,hg,hg,lm,liz
,,Walk around the store to tidy & restock any missing items on the shelves. Check the change rooms! Fill any empty space on the shelves by adjusting items around.,hg,hg,lm,hg,hg,lm,liz
,,Restock the shopping bags. Change out any low receipt rolls for EFTPOS or printer. Take out garbage if full & refill bin liner.,hg,hg,lm,hg,hg,lm,liz
,,Everyday vacuum or sweep/dry mop the floor and wet mop floor (once a month) - Did you mop? YES/NO (So next day knows) ,hg - vac,hg - vac,lm,hg - vac,hg - vac,lm,liz - vac
,,"AIRCON: Turn off Air Con if on - 2 points: Register area, Sales area (if turned on)",hg,hg,lm,hg,hg,lm,liz
,,"In Solvantis, open the till -> go to drop down menu -> Register to open 'End of Day Reconciliation'. In the row for 'cash' click 'count' and count all cash in the till, entering the amounts into the count window.",hg,hg,lm,hg,hg,lm,liz
,,"Print Eftpos reconcile:
Zeller: Log in (password Bebop2071!) -> Reports -> Site/Terminal -> print. Make sure machine is on & charged for the next day!",hg,hg,lm,hg,hg,lm,liz
,,Commence EOD Reconciliation in Solvantis - enter subtotal amount from zeller report in the 'card' row under the 'count' column. Subtract and take the cash takings for the day out of the till so the float equals $400. The float should always be $400 regardless of any discrepancies. Either add cash to or take cash from daily takings in order to do so.,hg,hg,lm,hg,hg,lm,liz
,,Check the Zeller eftpos total matches the EOD reconciliation card expected total.,hg,hg,lm,hg,hg,lm,liz
,,Likewise check the actual cash takings total matches the cash expected total.,hg,hg,lm,hg,hg,lm,liz
,,"If card and cash amounts are correct the 'variance' column will show a green $0.00
IF THERE ARE DISCREPANCIES: red numbers in a negative amount mean it's under, if over by a certain amount there will be a +$ amount in yellow. Always double check your counting of the float. Check discrepancies by looking through zeller transactions and compare with Solvantis sales in 'Reports' to get to the source. Any discrepancies over or under $5 notify Nirmani and Lance in the EOD email. Once all amounts are double checked and entered, screenshot or save page as PDF and attach file to EOD email, then click 'save EOD reconciliation' and print it out as a receipt. Staple this receipt together with the printed Zeller report. ",hg,hg,lm,hg,hg,lm,liz
,,EOD email: Email Nirmani (accounts@monsterthreads.com.au) the EOD reconciliation page - include any petty cash expenses (with receipts) and any discrepancies.,hg,hg,lm,hg,hg,lm,liz
,,Cash Sheet: Fill in how much cash was put in the safe (must match EOD reconciliation denomination) & also fill in any petty cash expenses (enter in as a negative amount) and include a description of what was purchased. Make sure you're in the correct month tab at the bottom. https://docs.google.com/spreadsheets/d/130p32SGUgtTT_x4gfKCikIs6x-NnoCfnau2xApxrntg/edit#gid=0,hg,hg,lm,hg,hg,lm,liz
,,"Place all EFTPOS receipts for the day (bundled up with store and date written)/stapled Zeller & Solvantis report in the plastic acrylic drawers behind the counter. Place cash takings in a plastic bag with the store, date, staff and cash amount labelled and place in safe.",hg,hg,lm,hg,hg,lm,liz
,,Turn off lights for LED shelves - 3 sets of power points for the shelves up the back and 2 sets in the front. Turn off display night lights. Turn off change room lights and turn off bathroom light!,hg,hg,lm,hg,hg,lm,liz
,,"SIGN OFF ON DEPUTY / Shut down the computer. Turn off the lights in the white electricity cupboard, as marked by the yellow stickers and go! BYE CIAOOOO!!!",hg,hg,lm,hg,hg,lm,liz
,,,,,,,,,
,,                 ,,,,,,,
