2000575029008,COMMUNICATION BOOK / NOTICES - Please initial once you have read ,Images,Lyn,Emma B,Sayba,Yanna,Lucy,Victoria,Angie,Andy,Alex,Tammy
,,,,,,,,,,,,
25/8/26,"please don't restock bubble wrap on a monday night, stock intake is Tuesday (bubble wrap from delivery restocks the drawer) :)",,,EB,sz,,,,,AH,,
,,,,,,,,,,,,
21/8/26,"Extra Urban Product stock in cabinets C,D,E. Please restock as they get sold",,,EB,sz,,,,al,,,tp
,,,,,,,,,,,,
14/8/26,"if the tees are not sorted and re folded by the end of day, ill rat you out",,,EB   (0 o 0)',sz,,,,al (ó﹏ò｡),AH,,tp
9/8/26,Big Lamps 145$,,,EB,sz,,,,al,AH,,tp
9/8/26,Extra hijinx bag charm in cabinet E (update:all are out on dilay now),,,EB,sz,,,,al,AH,,tp
,,,,,,,,,,,,
7/8/26,Please keep the kids tee/knit jumper cabinet tidy!!!!!!!! ,,,EB,sz,,,,al,AH,,tp
,we now have staff umbrella :P (its in cabinet8 (vacuum )),,,EB,sz,,,,al,,,tp
,,,,,,,,,,,,
7/8/26,The salt n pepper stock is in cabinet O w the music boxes,,,EB,sz,,,,al,AH,,tp
3/8/26,"The vacuum head is not working, cleaned and troubleshot, pls try again",,,EB,,,,,al,AH,,
,,,,,,,,,,,,
28/07/26,The woolies store credit receipt under the til,,,EB,sz,,,,al,AH,,
,,,,,,,,,,,,
,"If you dont price the items during delivery, you will be publicly hung outside state library",,,,,,,,,AH,,tp
,,,,,,,,,,,,
13/7/26,PLEASE DO DAILY JOBS,,,EB,sz,,,,al,AH,,tp
,,,,,,,,,,,,
02/07/26,New POS System Solvantis <3   ,,,EB,sz,,,,al,AH,,
,,,,,,,,,,,,
07/05/26,"if customer come back to return/ exchange cracked mug (batch number 12/25 )of the RGA X Carolyn Gavin collection, please process refund ><! (details in email)  ((((((also staff are welcome to take them home for free!!!)",,,EB,sz,,,,al,AH,,
,,,,,,,,,,,,
,"please do not put the plastic bucket back under the sale rack,  (i put them in cabinet E for now) near card wall",,ls,EB,sz,,,VC  ?,al,AH,,
,,,,,,,,,,,,
10/4/26,door mat from front is near the trolley (back corner right) if it rains and you need it :),,ls,EB,sz,,,vc,al,AH,,
,,,,,,,,,,,,
27/3/26,NEW ZELLER MACHIENE! Yay! Swipe for credit cards is now at the top not the side. off button is on right side.  Opening the latch for reciept removal: see little gap where reciepts come out - pull down from both corners it required some force,,ls,EB,sz,,,vc,al,AH,,
,,,,,,,,,,,,
16.3.26,Kaew would like the highand cow doorstoppeer kept seperate from the soft toys,,ls,EB,sz,,,vc,al,AH,,
,,,,,,,,,,,,
11.3.26,"Botanica diffuser is missing a tube box, and wrong box is left that does not match remaining scents. explain to customer about the scents. we want to try to sell and they wont sell if sitting there without the reeds.",,ls,EB,sz,,,vc,al *i found the missing tube box - awesome well done,AH,,
,,,,,,,,,,,,
23.2.26,reminder from Lance: only one of each clothing design on rack.,,ls,EB,sz,,,vc,al,AH,,
,,,,,,,,,,,,
