DAY,DAILY JOBS ,DATE,INITIAL,NOTES ,MANAGER SIGN OFF
Monday,,17/8/26,,,
,"START OF DAY, go to start & end day tab. Do start of day jobs.",,tp,,
,,,,,
,"Sanitise and dust all porceline, touch lamps, mugs, candles, and frequently touched items.",,tp,,
,,,,,
,Clean the Music box display. Take out each music box dust shelves top to bottom and wipe dust off each music box with tissues before putting back. ones with moving cars/trains etc need to be cleaned with baby wipes to remove the marks around the base,,,,
,,,,,
,"Organise cabinets. Group products and neaten, ensure everything is easy to access and products are visible.",,AH,,
,,,,,
,"Go through ALL clothing drawers and check all tee, jumpers, hoodies are in the right drawers",,AH,,
,,,,,
,"Dust all shelvingl (FRONT HALF) top to bottom, remove products and be thorough. ",,AH,,
,,,,,
,Mop floor using steam mop - if the store is too busy then just spot mop any areas with marks on the floor,,,,
,,,,,
,dust top shelves with a ladder (be careful!!) and ensure everything is neat,,,,
,,,,,
,If you still have time and nothing to do - check what jobs were not able to be done yesterday/during the week and complete them.,,,,
,,,,,
,"END OF DAY, go to start & end day tab. Do end of day jobs.",,AH,,
,,,,,
,DAILY JOBS ,DATE,INITIAL,NOTES ,MANAGER SIGN OFF
Tuesday,,18/08,,,
,"START OF DAY, go to start & end day tab. Do start of day jobs.",,sz,,
,,,,,
,Do delivery - make sure everything is priced and security tagged if able,,sz,,
,,,,,
,"Check all shelf prices in store, add any missing price tickets into the missing label tab",,sz,,
,,,,,
,"Check on holds, call up customers. Make sure you leave info on product with when its being picked up etc. ",,sz,,
,,,,,
,"Take rubbish out. This includes bin under till, carboard, recyling, any empty drink bottles",,,,
,,,sz,,
,If you still have time and nothing to do - check what jobs were not able to be done yesterday/during the week and complete them.,,,,
,,,,,
,"END OF DAY, go to start & end day tab. Do end of day jobs.",,,,
,,,,,
,DAILY JOBS ,DATE,INITIAL,NOTES ,MANAGER SIGN OFF
Wednesday,,19/8/26,,,
,"START OF DAY, go to start & end day tab. Do start of day jobs.",,sz,,
,,,,,
,Take vacuum apart and clean all parts (there are some wooden skewers in the counter which are good for poking out big clumps of dust in the end),,,,
,,,,,
,Clean and organise the counter space. Take all products / displays off the counter top. Dust and wipe. Dust and neaten products / displays as you put them back.,,sz,no delivery,
,,,,,
,"Dust all shelving on back wall  top to bottom, remove products and be thorough. Do half the store each. ",,,,
,,,,,
,Go through all card displays to ensure that they aren't muddled up and all have a facing and are priced,,sz,,
,,,,,
,LINT DUSTY PLUSH AND SILICONE ITEMS,,SZ,,
,,,,,
,If you still have time and nothing to do - check what jobs were not able to be done yesterday/during the week and complete them.,,,,
,,,,,
,"END OF DAY, go to start & end day tab. Do end of day jobs.",,,,
,,,,,
,DAILY JOBS ,DATE,INITIAL,NOTES ,MANAGER SIGN OFF
Thursday,,23/7,,,
,"START OF DAY, go to start & end day tab. Do start of day jobs.",,al,,
,,,,,
,"Top up bags, organise security tags. Do we need more security stickers?",,al,,
,,,,,
,Work your way around the store with the price gun and make sure all items are priced (if there is no shelf label then each item needs a price on it),,sz,,
,,,,,
,"Dust and wipe down the counter. All products need to be removed and the bench cleaned. Thoroughly clean all the products eg wipe of finger prints, smudges etc ",,al,,
,,,,,
,"Give the izipizi glasses a clean, they get quite smudgy. cloth is in the top drawer of display cabinet",,al,,
,,,,,
,"Sale check - make sure all designs + sizes are out, make sure all have sale sticker and priced. ",,sz,,
,,,,,
,Top up all jewellery. Neaten the short story earings as they get bumped around a lot. Group short story into styles. (note that some are $35 and need to be clearly seperated from the rest),,,,
,,,,,
,Clean all display mugs and ceramics (they get gross and dusty inside),,al,,
,,,,,
,Clean top of rails - wipe thoroughly with cleaning wipes (not baby wipes) then with tissue to get all the black marks off,,,,
,,,,,
,Clean in card racks - remove all cards and dust,,,,
,,,,,
,"Do a hardcore (raaar) dusting around store, lint roll floor stock",,,,
,,,,,
,If you still have time and nothing to do - check what jobs were not able to be done yesterday/during the week and complete them.,,,,
,,,,,
,Clean Orbit key stand thoroughly (dust and wipe down),,al,,
,,,,,
,"END OF DAY, go to start & end day tab. Do end of day jobs.",,,,
,,,,,
,DAILY JOBS ,DATE,INITIAL,NOTES ,MANAGER SIGN OFF
Friday,,7/8/26,,,
,"START OF DAY, go to start & end day tab. Do start of day jobs.",,sz,,
,,,,,
,Do Delivery - make sure every item is priced and security tagged (where possible),,sz,,
,,,,,
,Take rubbish out,,sz,,
,,,,,
,"Check on holds. Call customer, leave a note in GD / on hold item as to what it happening. If they are not collecting it make sure that the product goes on the floor",,sz,,
,,,,,
,Make sure all LED lamps are organised and charged,,al,,
,,,,,
,"Check all shelf prices in store, add any missing price tickets into the missing label tab",,sz,,
,,,,,
,Check for change for the weekend / banking and get more if needed.,,al,,
,,,,,
,If you still have time and nothing to do - check what jobs were not able to be done yesterday/during the week and complete them.,,,,
,,,,,
,"END OF DAY, go to start & end day tab. Do end of day jobs.",,al,,
,,,,,
,DAILY JOBS ,DATE,INITIAL,NOTES ,MANAGER SIGN OFF
Saturday,,8/8/26,,,
,,,,,
,"START OF DAY, go to start & end day tab. Do start of day jobs.",,,,
,,,,,
