`,,,
,,,
,START OF DAY,,
,,,
Staff Name:,sayba,Staff initial,
Date:,19.08.26,,
,,,
1,"Turn on ALL lights – make sure you don't miss any lamps (if any bulbs are out please change them, put in store needs if there are no spare bulbs)",sz,"Light: 1. Turn the two lights to the far right of the store beside lil dreamers .                                                                                                                                                                                                        2. Turn on the four top switches in the cabinet U, labelled lights 1,2,3,4.                                                                                                                  3. Turn the switch at the bottom of the left door   "
,,,4
2,Check front window and neaten them/ Tidy everything.,sz,
,,,
3,Open Solvantis: sign in with ID: QV password:3333-> OPEN REGISTER (tab located on the top right corner of  pos screen) -> count till (should be $400) Click open register and place an opening misc log sale ,sz,Press theOpen Til button on the top of the screen to open the till
,,,
,,,
4,"Turn on music via laptop. Use Spotify (password: QVMonster26)  - play something appropriate for the store (something upbeat, no creepy vibes!)",sz,Login is under the reference tab
,,,
5,Open Loyalty Dog Scanning Portal and log in,,
,,,
6,"Check The eftpos is working, check internet is on. ",sz,
,,,
7,Check front window and neaten them/ Tidy everything.,sz,
,,,
8,Check garment if evey design are out,sz,"Designs : 12 x Men tees, 9 Women tees, 4 women tops, 7 kid tees, 6 jumpers (across men and women), 16 kid raincoats and 13 women raincoats"
,,,
9,Wander around the store and restock any items that need to be restocked.,sz,Reports-Daily Sales by Product - change date to yesterday and Channel/POS register to QV
,,,
10,Check security gate - walk through with tag,,
11,Wipe down display window outside,sz,Use window cleaner
,,,
12,DUST!!!! please spend a good 15mins dusting everything in the morning before the store gets busy. This will also help you notice if anything needs to be topped up from the day before.,sz,
,,,
13,Vacuum and mopping the dirty spot in the morning as it tends to be busy at night,,
,,,
14,Send store photos to Kaew,,"3 front windows, Middle table front and back and main shelves along the wall. (you can use our wifi - password is in the reference tab)"
,,,
15,Check daily cleaning tasks and complete throughout the day,sz,
,,,
,,,
,,,
,,,
,,,
,,,
,END OF DAY,,
,Allocate 2 hours to complete all of this properly. The first 2 jobs are the priority. ,,
,,,
Staff Name:,Andy,,
,1.6.25,,
,,,
1,"Walk around the store to tidy, check & adjust any missing items on the shelves. Fill any empty space on the shelves by moving items around.",,Reports-Daily Sales by Product - select today and Channel/POS register to QV
,,,
2,Clean the fingerprints off the outside of the front window ,,use glass cleaner only
,,,
3,"Clean the mirrors, jewellery cabinets, glass counter top, glasses display and Zellar",,use glass cleaner only
,,,
4,Vacuum the entire store. This includes under tee racks. Please empty the vacuum and clean the head with each use.,,
,,,
5,Turn off the music box display,,
,,,
6,"Close doors, Don't count cash until doors are locked and store is empty",,Please close and lock doors at exact close time unless its really quiet you can close 5/10 mins before.
,,,
7,"Open Solvantis ""Close Register"" from top right menu.",,
,Commence close register in Solvantis - count the float entering into float counter - should always add up tp $400+amount of cash taking  ,,
,Check the Zeller eftpos total matches the close resgister summary card total.,,
,Likewise check the actual cash takings total matches the cash summary total.,,
,"Enter the amounts for card and cash (with the float) into the close register window. If amounts are correct Variance will say '+0.00'. 
IF THERE ARE DISCREPANCIES: red numbers mean it's under, yellow meas over by a certain amount. Always double check your counting of the float. Check discrepancies by looking through zeller transactions and compare with cin7 sales to get to the source. Any discrepancies over or under $5 notify Nirmani and Lance in the EOD email. Once amounts are entered, screenshot or save page as PDF and attach file to EOD email, then press ""Save EOD Reconcilition"" button. ",,
,Email Nirmani (accounts@monsterthreads.com.au) the reconciled 'close register' page - include any petty cash expenses (with receipts) and any discrepancies.,,Tab in bookmarks
,,,
,,,
8,After you close register: Print the Close register to a pdf(print - select Microsoft pdf printer) or copy screen using the the snipping tool ( window button and PrtScr SysRq button) and email to accounts@monsterthreads.com.au along with details of any discrepancies throughout the day and any petty cash receipts.  (Mark) PLEASE also fill out the new cash log https://docs.google.com/spreadsheets/d/1jW8RjOvbO4aiJ69OlRVQ-Zy9tPyCM0AyGGn4jJFkVqY/edit?usp=sharing,,
,"Print Eftpos reconcile:
Cin7: Register-> close register ->Save EOD Reconcilition -> print. 
Zeller: Reports -> Site/Terminal -> print. Make sure machine is on & charged for the next day!
Staple the two documents together",,
,,,
9,"Turn off music, computer, lights and check the door is locked behind you!",,
