DATE,NAME,Item Code,ITEM DESCRIPTION,QTY IN CIN7,ACTUAL QTY found,Fixed,Note
,,Please put item code,"IMPORTANT specify if its a tee or hoodie, what colour it is, if you have correct gender?",,,,
,,,,,,,
,Perdy Parrot Salt & Pepper Yellow & Purp,,,1,0,,
,Salt & Pepper Set Burger and Fries,,,1,0,,
,Doiy: Ocean Dreams Salt & Pepper Jellyfish,,,1,0,,
,Sardine Trinket Box Blue 12cm,,,1,0,,
,Bag Charm - Cat,HJZ052AU,,3,2,,
,,,,,,,
,Koala Magnet (S),4711717343293,,1,0,,
,Shopping Bag: Gumnut Pals,,,1,0,,
,,,,,,,
,Finger puppet Cockatoo,GI-FP-AB003,,1,0,,
, Finger puppet koala,GI-FP-AA002,,2,0,,
,Finger puppet kookaburra,GI-FP-AB001,,2,0,,
