variant_id,sku,product_name,location_id,location_name,qty_on_hand,current_variant_avg_cost,current_location_avg_cost,current_purchase_cost,latest_receipt_cost,latest_receipt_date,purchase_order_id,recommended_cost,recommendation_source,review_status
ec7a7624-5e22-4408-950f-625025d8ef9a,Wrap01,$3.5 Gift Wrapping,1,Shop 1,893.0000,,,0.0000,,,,,unresolved,unresolved
ec7a7624-5e22-4408-950f-625025d8ef9a,Wrap01,$3.5 Gift Wrapping,2,Shop 3,888.0000,,0.0000,0.0000,,,,,unresolved,unresolved
ec7a7624-5e22-4408-950f-625025d8ef9a,Wrap01,$3.5 Gift Wrapping,3,Shop 2,934.0000,,,0.0000,,,,,unresolved,unresolved
f389a7d3-b42e-484f-afa3-edfd1afeb53c,TJ-3DM/AV,3D Mug Avocado,4,Warehouse Branch,2.0000,,,6.8000,,,,6.8,current_purchase_cost,proposed
955b7417-4024-4eff-9c8e-2e5f2247e985,KS46004,AUSTRALIAN ANIMALS - AGES 4-6,3,Shop 2,1.0000,,,5.8500,,,,5.85,current_purchase_cost,proposed
afb71c43-64fb-4b14-8b86-28dbcf40cfe2,HJX047AU,Bag Charm - Cherries,2,Shop 3,1.0000,,0.0000,5.4300,,,,5.43,current_purchase_cost,proposed
3f72aec4-14ef-43a5-9a6b-83dffa4bc1ab,HJX045AU,Bag Charm - Chili,2,Shop 3,1.0000,,0.0000,5.4300,,,,5.43,current_purchase_cost,proposed
eea1c32d-375b-4b6d-9224-9f26c9a3a718,HJX050AU,Bag Charm - Cowboy Boot,2,Shop 3,1.0000,,0.0000,5.4300,,,,5.43,current_purchase_cost,proposed
eea1c32d-375b-4b6d-9224-9f26c9a3a718,HJX050AU,Bag Charm - Cowboy Boot,4,Warehouse Branch,1.0000,,,5.4300,,,,5.43,current_purchase_cost,proposed
f0df3ec4-1482-439a-a9fb-ec5f09d47b96,HJX051AU,Bag Charm - Dog,4,Warehouse Branch,4.0000,,,5.4300,,,,5.43,current_purchase_cost,proposed
16e0cd7d-de2c-453b-a855-3b83dd8b19f0,HJX043AU,Bag Charm - Hot Sauce,4,Warehouse Branch,6.0000,,,5.4300,,,,5.43,current_purchase_cost,proposed
ae147f66-6604-4f31-a112-ad9f32c58b6b,HJX054AU,Bag Charm - Lobster,2,Shop 3,2.0000,,0.0000,5.4300,,,,5.43,current_purchase_cost,proposed
ae147f66-6604-4f31-a112-ad9f32c58b6b,HJX054AU,Bag Charm - Lobster,4,Warehouse Branch,9.0000,,,5.4300,,,,5.43,current_purchase_cost,proposed
9de5fda1-793d-4b18-b532-90c421f6c7f8,HJX048AU,Bag Charm - Tomatoes,4,Warehouse Branch,1.0000,,,5.4300,,,,5.43,current_purchase_cost,proposed
af08c591-bd90-4619-a6a9-c44a03e40df0,47C0120433,BAG CHARM EMU,1,Shop 1,2.0000,,0.0000,10.0000,,,,10,current_purchase_cost,proposed
af08c591-bd90-4619-a6a9-c44a03e40df0,47C0120433,BAG CHARM EMU,4,Warehouse Branch,6.0000,,,10.0000,,,,10,current_purchase_cost,proposed
