Product,Shopify Handle,Options,Solvantis Product ID,Shopify Product ID,Solvantis Variant ID,Shopify Variant ID,Current Solvantis SKU,Current Shopify SKU,OG Export SKU,Proposed Action,Match Status,Match Confidence
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,sienna-black-sequins-mesh-tee-by-frankie-copy,Size: L,0249851c-6b30-47c4-b08b-0218ff805585,1.05969E+13,c325bf59-bb3e-44c6-b60e-f89a943c207c,5.30154E+13,836-1 - BF9-5,836-1 - BF9-5,836-1 - BF9,REVERT TO OG,EXACT OG MATCH,exact handle + options
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,sienna-black-sequins-mesh-tee-by-frankie-copy-1,Size: L,cb9a55cf-adef-4e8b-8661-19f920f005e5,1.05969E+13,dc08eada-7fd1-4e7c-8c82-32a65617b184,5.30159E+13,836-1 - BF9-10,836-1 - BF9-10,836-1 - BF9,REVERT TO OG,EXACT OG MATCH,exact handle + options
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,sienna-black-sequins-mesh-tee-by-frankie-copy-2,Size: L,59598cce-7a03-4ad7-b21c-50be14f7f09b,1.05978E+13,ca787453-1519-452c-bf3b-8b92693f9f97,5.30222E+13,836-1 - BF9-15,836-1 - BF9-15,836-1 - BF9,REVERT TO OG,EXACT OG MATCH,exact handle + options
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,sienna-black-sequins-mesh-tee-by-frankie-copy,Size: M,0249851c-6b30-47c4-b08b-0218ff805585,1.05969E+13,88441b46-390f-4f9f-b4c0-0de20dcf8f5f,5.30154E+13,836-1 - BF9-4,836-1 - BF9-4,836-1 - BF9,REVERT TO OG,EXACT OG MATCH,exact handle + options
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,sienna-black-sequins-mesh-tee-by-frankie-copy-1,Size: M,cb9a55cf-adef-4e8b-8661-19f920f005e5,1.05969E+13,4822ea72-04af-4238-a4cd-1442445fdbf9,5.30159E+13,836-1 - BF9-9,836-1 - BF9-9,836-1 - BF9,REVERT TO OG,EXACT OG MATCH,exact handle + options
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,sienna-black-sequins-mesh-tee-by-frankie-copy-2,Size: M,59598cce-7a03-4ad7-b21c-50be14f7f09b,1.05978E+13,9302a2c1-5d64-496f-b8c9-1d0b65b79040,5.30222E+13,836-1 - BF9-14,836-1 - BF9-14,836-1 - BF9,REVERT TO OG,EXACT OG MATCH,exact handle + options
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,sienna-black-sequins-mesh-tee-by-frankie-copy,Size: S,0249851c-6b30-47c4-b08b-0218ff805585,1.05969E+13,96f4bafc-0e0b-4291-a600-c1df603adb42,5.30154E+13,836-1 - BF9-3,836-1 - BF9-3,836-1 - BF9,REVERT TO OG,EXACT OG MATCH,exact handle + options
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,sienna-black-sequins-mesh-tee-by-frankie-copy-1,Size: S,cb9a55cf-adef-4e8b-8661-19f920f005e5,1.05969E+13,cf9ec665-fd56-4471-a775-09e1dd2a883e,5.30159E+13,836-1 - BF9-8,836-1 - BF9-8,836-1 - BF9,REVERT TO OG,EXACT OG MATCH,exact handle + options
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,sienna-black-sequins-mesh-tee-by-frankie-copy-2,Size: S,59598cce-7a03-4ad7-b21c-50be14f7f09b,1.05978E+13,6691b9b7-0bd5-494c-b07e-715f19812b2c,5.30222E+13,836-1 - BF9-13,836-1 - BF9-13,836-1 - BF9,REVERT TO OG,EXACT OG MATCH,exact handle + options
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,sienna-black-sequins-mesh-tee-by-frankie-copy-2,Size: XL,59598cce-7a03-4ad7-b21c-50be14f7f09b,1.05978E+13,75f383ca-f103-44a7-98c2-3d24ef5f75b9,5.30222E+13,836-1 - BF9,836-1 - BF9,836-1 - BF9,NO CHANGE,ALREADY OG,exact handle + options
