Product,Options,Solvantis Variant ID,Shopify Product ID,Shopify Variant ID,Shopify Inventory Item ID,Previous Solvantis SKU,Previous Shopify SKU,Restored OG SKU,Leading Apostrophe Normalized,IMS Verified,Shopify Verified
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: L,c325bf59-bb3e-44c6-b60e-f89a943c207c,10596924457265,53015377576241,55116449710385,836-1 - BF9-5,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: L,dc08eada-7fd1-4e7c-8c82-32a65617b184,10596949655857,53015939940657,55117014991153,836-1 - BF9-10,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: L,ca787453-1519-452c-bf3b-8b92693f9f97,10597820203313,53022197449009,55123335905585,836-1 - BF9-15,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: M,88441b46-390f-4f9f-b4c0-0de20dcf8f5f,10596924457265,53015377543473,55116449677617,836-1 - BF9-4,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: M,4822ea72-04af-4238-a4cd-1442445fdbf9,10596949655857,53015939907889,55117014958385,836-1 - BF9-9,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: M,9302a2c1-5d64-496f-b8c9-1d0b65b79040,10597820203313,53022197416241,55123335872817,836-1 - BF9-14,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: S,96f4bafc-0e0b-4291-a600-c1df603adb42,10596924457265,53015377510705,55116449644849,836-1 - BF9-3,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: S,cf9ec665-fd56-4471-a775-09e1dd2a883e,10596949655857,53015939875121,55117014925617,836-1 - BF9-8,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: S,6691b9b7-0bd5-494c-b07e-715f19812b2c,10597820203313,53022197383473,55123335840049,836-1 - BF9-13,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: XL,19b2a25f-b6e1-4a32-b790-bdf50d531f33,10596924457265,53015377609009,55116449743153,836-1 - BF9-6,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: XL,c0c72fce-bb03-4214-8e94-cfa549c91ddc,10596949655857,53015939973425,55117015023921,836-1 - BF9-11,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: XS,1f0d1de6-b19a-4e7d-a985-5f41fef98069,10596924457265,53015377477937,55116449612081,836-1 - BF9-2,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: XS,71764702-eebb-4635-b1d0-3e98a85b8464,10596949655857,53015939842353,55117014892849,836-1 - BF9-7,836-1 - BF9,836-1 - BF9,no,yes,yes
Aaliyah Off The Shoulder Sequins Mesh Tee - By Frankie,Size: XS,e0a5d948-71f2-408b-9b01-ed155bcdbb0f,10597820203313,53022197350705,55123335807281,836-1 - BF9-12,836-1 - BF9,836-1 - BF9,no,yes,yes
Ada Linen Mini Dress - Mustard/Yellow - GDS,Size: L,58effb9e-d446-4268-875a-53d1457bb547,7191248634013,41594095927453,43691065868445,2803318-4,2803318,2803318,no,yes,yes
Ada Linen Mini Dress - Mustard/Yellow - GDS,Size: M,faa767e4-4955-48e6-a61e-ed05a511af82,7191248634013,41594095894685,43691065835677,2803318-3,2803318,2803318,no,yes,yes
Ada Linen Mini Dress - Mustard/Yellow - GDS,Size: S,e713ac89-5f4c-4172-87d5-ede2656bb2d8,7191248634013,41594095861917,43691065802909,2803318-2,2803318,2803318,no,yes,yes
Ada Linen Mini Dress - Mustard/Yellow - GDS,Size: XL,3cf6efc7-fd88-4ef3-b709-fcb37c9940f8,7191248634013,41594095960221,43691065901213,2803318-5,2803318,2803318,no,yes,yes
Ada Linen Mini Dress - Pink,Size: L,aeb660f8-81a6-45f2-81c4-6e30b90d5377,8006179291441,43944797962545,45994292871473,280 3318 mkt-3,280 3318 mkt,280 3318 mkt,no,yes,yes
Ada Linen Mini Dress - Pink,Size: S,e685070d-ef56-46fd-b2f8-6a39faa41611,8006179291441,43944797897009,45994292805937,280 3318 mkt-2,280 3318 mkt,280 3318 mkt,no,yes,yes
Ada Linen Mini Dress - Pink,Size: XL,48d75a92-c35a-4cc8-9fae-563b0cc42dde,8006179291441,43944797995313,45994292904241,280 3318 mkt-4,280 3318 mkt,280 3318 mkt,no,yes,yes
Ada Linen Shorts - Yellow - GDS,Size: L,04ac59cc-4ade-4cae-a499-d4ffa053671f,7293224943773,42015180390557,44113908924573,GDS109-4,GDS109,GDS109,no,yes,yes
Ada Linen Shorts - Yellow - GDS,Size: M,ed0ce5ed-2f6d-4924-9524-6e57c51318cf,7293224943773,42015180357789,44113908891805,GDS109-3,GDS109,GDS109,no,yes,yes
